published,ticker_yahoo,title,link,source,source_kind,matched_alias,sentiment_score,sentiment_label,sentiment_confidence,sentiment_reason,event_type,relevance_score,relevance_label,relevance_reason,is_relevant
2026-07-13 11:25:43,MMM,"NY AG Suing 3M, Other Chemical Companies Over PFAS Pollution - Carrier Management",https://news.google.com/rss/articles/CBMibEFVX3lxTE1nakc1b0szRFpzY1VGSjRlVVA5U0ZJNnd4M05PWjUtTjl1NEh4dWNEdzJPMHM5YnNKRHAzbHQ3YmRhMGZfQ2M5LXhraGVwdjB3a2xGQjg5U2dvbWlFcmU4aUltOVAtV291ODhQdQ?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-13 09:30:31,MMM,3M PELTOR SportTac by 3M Company - electronic hearing protection for the range - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOTTlTMEVxUXFWZmM2cFZ6N0QzZU9HY3Azbi10TEVaYlFNNktMRVJiZG5NMXBkU1ZXRGZHR1FIM0Q1YkczandkeWZUT28xczV2Rk9GaHdfUnplbXNnVW5JN1d0MWRjM05kRGFzY3ZyTnlZMkxFYXF6aFZpRXJQT2l5UjdBaXoyNWJIdWNVb0Q2cDVOcHVyYmRzRkltTXlVTE02REZyX1VxYjRyOGhOSXgyNFl0WWpxX0tTT3QzNXl6czVUUjlzLWpXXw?oc=5,Google News Suche: 3M Company,search_fallback,3M Company,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,82,mittel,Firmenalias im Titel,True
2026-07-12 07:32:53,MMM,3M Company stock holds steady as diversified business underpins long-term value - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMizAFBVV95cUxNclZwQXRZajNjVDVqMTNzR0IzcWFzRHlqbjI4dzFydmdfc1ZxR1pCdzZjcy1pc1B5dy1BWXF3QXdsU25HZzhEMEFkRUNBYjhKUEl1enhTa3NSa2Mzbl9QUlBQcDVNODhvd3otRHEwaDBJQUxMRWg5U0NLREhidDV3MmVONGZyQ3FhSkFaWmpRRXUyVzkyMi1PN0FoTmx2LVVWYkp4eVMtWmE4a0x5VG9zTnZNTEFzNW5waDQwZzNGaldiVEh6Z0FON3c3Tmg?oc=5,Google News Suche: 3M Company,search_fallback,3M Company,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,89,hoch,Firmenalias im Titel · Finanz-/Unternehmenskontext: stock,True
2026-07-11 16:58:36,MMM,3M (MMM) Shares Rose $1.1 Billion on Friday as Expectations for Earnings Moved Higher - TechStock²,https://news.google.com/rss/articles/CBMipgFBVV95cUxQOWlfSE5GejJEcHFlZUJwTnhINDBRLWtYc0dWYUpWT0VvWjBUSE1xM01USWlhbkNEYTNFeUxOQXhreFBVZE5JMHM1Z2d0VExGZnJEWjlobFQyRllockdpNkpmaUZkSGRncHNGWTZCOWROdmc0VWFBSklHMnpJMUduR3RDdHd1SjFSRzdWTEVITHRkcWtycWRyb2hZall2N00xbHd0Ym1R?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,84,mittel,"Firmenalias im Titel · Finanz-/Unternehmenskontext: earnings, share, shares, stock",True
2026-07-10 14:19:31,MMM,New York will not let 3M and DuPont forget PFAS scandal - ICLG,https://news.google.com/rss/articles/CBMihAFBVV95cUxPSW5qRkR2WE1kdVVFaWN6TjVDVEE3QzNXSFNJN0VPaDN5RjlpcWFTbGI2c0ZQN3lWcVFhLUdiVXVBU21FYml0b1FzdlpkMk95QXU4eS1PLWt2LVhJR0hIbldkaWlmaTlMdzA2cFlPUGN4WGE3cWRRMElKTlNrdVBRczhyZVA?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-10 13:36:00,MMM,3M's Consumer Segment's Weakness Persists: What's the Road Ahead? - Yahoo Finance,https://news.google.com/rss/articles/CBMipwFBVV95cUxQR0JnZWZzdTJpZjNuaERUaEdCand1clMxZjYyclJSeF93LU1VeWVsUlI4T2paQ2pJRFFBWGE4bFpuOC1nWFExZGNPREs1MVJFNjZUMnkxV3FFSE5BbGtUeTYyTTVibEtac0p4N3RtZ2pqM1QwZWhVQkl1QmQ3ZlBWemFqYjNzNC1iQ0VsSklYTWEtaERlU2xKblVKbGxSY3Vhd3Y5eV9QTQ?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-09 16:43:40,MMM,"New York AG sues 3M, DuPont, others over PFAS ‘forever chemicals’ (MMM:NYSE) - Seeking Alpha",https://news.google.com/rss/articles/CBMioAFBVV95cUxPRXgtUHBna004R0JhWlFSX04tZGZUSXpxNEk4eUt1ajQyZFVJb2JnVHZHdnlaV1JJVGYzcGhOaS1TVmh6RlNZcV95UGR3MThIOXZuMGhuVzM0eGZvTEhDdVhEY1BWTXRBNEZzUWlScmxhcFJHR1lVdTZtV2RqbFdxNnFSNER2OXM2UjhScFA2bG1fYmFwLThxTER6TXlXRHFi?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-09 15:35:32,MMM,"New York sues 3M, DuPont, others over toxic 'forever chemicals' in consumer goods - marketscreener.com",https://news.google.com/rss/articles/CBMiwgFBVV95cUxPTjgwZFp4dVNHdFFFSUt1T3UyOFBXaEs4elRXamFkdmJ3ZGYtemd4VkN2bGthUlBJR1FGOGl4d2FIOVVrWkd0cF9lZUVmY1J5VW9EQ1Vfc2lsTUhJUGI3NjlDTVdISy05N1F0N2Fka21lbjhkMGdLUm8wSGJxcVA5MHZFU2RabXNMQzh5aFI1NU9lMklZZFllelp5YTlac3pKMTZyUC0tVUM5b2pBREZpb3JTTkVwYk5BT2swOXQwRlQ0UQ?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-08 09:41:04,MMM,3M (MMM) Q1 2025 earnings summary - Quartr,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9tZnhZZzA0S2p6d1dhNEdKbVI0SEw2bVFGN1Z6RDQtSjUtMkpTUVJvb205S0dDX2puR2d3d3BkeENPcG1nTlFEYkNYS3QzWGU2R19ENTlWU3NnZVkzYnc?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,71,mittel,Firmenalias im Titel · Finanz-/Unternehmenskontext: earnings,True
2026-07-08 07:00:00,MMM,3M (MMM) Q2 2025 earnings summary - Quartr,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9EeVExV2FfN1FZVmdubXYwTmVGMTJBb3pDTWJCMjBrZFR3RU1lZWQwd0dWbEhvSmthcTU5YlI3ZXdsd3poZzlXUXpqaVUteWs0amFaZVRtTlBZQzNYdHc?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,71,mittel,Firmenalias im Titel · Finanz-/Unternehmenskontext: earnings,True
